slice_idx,z_mm,lesion_id,label_2d,slice_lesion_key,area_mm2,peak_hu,density_weight,agatston,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,n_voxels,mean_coverage,included,lesion_3d_id,lesion_3d_key
8,24.0,1,1,z008_c01,2.9105995222091674,154.0,1,2.9105995222091674,254.6086956521739,173.7391304347826,253,171,257,176,23,0.9243813157081604,True,1,L001
8,24.0,2,2,z008_c02,1.8649183490753174,169.0,1,1.8649183490753174,279.0625,203.875,277,202,281,206,16,0.8514053821563721,True,2,L002
8,24.0,3,3,z008_c03,1.6269975191116333,121.0,0,0.0,272.14285714285717,207.21428571428572,271,205,274,209,14,0.8488978147506714,False,3,L003
9,27.0,4,1,z009_c01,0.07798680596351623,129.0,0,0.0,119.0,131.5,119,131,119,132,2,0.28483128547668457,False,4,L004
9,27.0,5,2,z009_c02,0.33225225896835325,137.0,1,0.33225225896835325,245.4,173.2,245,172,246,174,5,0.48539409041404724,False,5,L005
9,27.0,6,3,z009_c03,33.87075119628906,506.0,4,135.48300478515625,269.8333333333333,195.77777777777777,261,184,276,209,252,0.981795072555542,True,3,L003
15,45.0,7,1,z015_c01,3.182829692649841,179.0,1,3.182829692649841,323.962962962963,221.2962962962963,321,219,327,224,27,0.8610853552818298,True,6,L006
15,45.0,8,2,z015_c02,2.573234741973877,176.0,1,2.573234741973877,331.77272727272725,230.45454545454547,330,227,334,233,22,0.8543843626976013,True,7,L007
16,48.0,9,1,z016_c01,0.032022759661078454,99.0,0,0.0,16.0,30.0,16,30,16,30,1,0.23391351103782654,False,8,L008
16,48.0,10,2,z016_c02,4.3654278383255,430.0,4,17.461711353302,198.3939393939394,47.484848484848484,195,45,201,50,33,0.9662942886352539,True,9,L009
17,51.0,11,1,z017_c01,0.42835340185165405,110.0,0,0.0,21.5,32.5,21,32,22,33,4,0.7822377681732178,False,10,L010
18,54.0,12,1,z018_c01,0.4486895750522613,105.0,0,0.0,24.4,33.2,24,32,25,34,5,0.6554997563362122,False,11,L011
19,57.0,13,1,z019_c01,0.6090471945285797,108.0,0,0.0,17.8,66.4,17,66,19,67,5,0.889769434928894,False,12,L012
20,60.0,14,1,z020_c01,1.0517867186546326,114.0,0,0.0,23.0,64.8,22,63,24,66,10,0.7682883143424988,False,13,L013
21,63.0,15,1,z021_c01,16.40536646270752,579.0,4,65.62146585083008,321.60483870967744,237.84677419354838,315,229,327,245,124,0.9664086103439331,True,14,L014
22,66.0,16,1,z022_c01,13.39647633972168,363.0,3,40.18942901916504,321.1121495327103,236.6822429906542,312,229,327,245,107,0.9145413637161255,True,14,L014
25,75.0,17,1,z025_c01,7.447980620574951,346.0,3,22.34394186172485,273.2931034482759,266.08620689655174,269,262,278,269,58,0.9380092024803162,True,15,L015
27,81.0,18,1,z027_c01,3.83801889629364,301.0,3,11.51405668888092,105.13793103448276,275.1034482758621,103,272,108,278,29,0.9667310118675232,True,16,L016
29,87.0,19,1,z029_c01,3.4430592315673825,244.0,2,6.886118463134765,102.3076923076923,261.2307692307692,100,259,105,264,26,0.9673144817352295,True,17,L017
30,90.0,20,1,z030_c01,4.304970599937438,215.0,2,8.609941199874877,150.72727272727272,167.15151515151516,147,165,154,169,33,0.9529120326042175,True,18,L018
30,90.0,21,2,z030_c02,15.545310845947265,389.0,3,46.635932537841796,156.56410256410257,179.45299145299145,150,172,162,186,117,0.9705325365066528,True,19,L019
30,90.0,22,3,z030_c03,5.729677354431152,372.0,3,17.189032063293453,202.8181818181818,179.4090909090909,200,176,206,183,44,0.9512048363685608,True,20,L020
30,90.0,23,4,z030_c04,13.458461106872559,638.0,4,53.833844427490234,108.56435643564356,246.3960396039604,104,240,113,253,101,0.9733534455299377,True,21,L021
31,93.0,24,1,z031_c01,11.615328712463379,286.0,2,23.230657424926758,157.84444444444443,178.06666666666666,153,173,164,184,90,0.9427261352539062,True,19,L019
31,93.0,25,2,z031_c02,3.1380180044174195,301.0,3,9.414054013252258,203.3846153846154,178.76923076923077,201,176,205,182,26,0.8816143274307251,True,20,L020
31,93.0,26,3,z031_c03,6.014883424758911,258.0,2,12.029766849517822,112.23913043478261,242.58695652173913,109,240,116,246,46,0.9551376104354858,True,21,L021
32,96.0,27,1,z032_c01,6.3136043384552,206.0,2,12.6272086769104,261.46,39.94,258,36,265,44,50,0.9223673343658447,True,22,L022
33,99.0,28,1,z033_c01,4.999443404388428,161.0,1,4.999443404388428,260.53846153846155,40.07692307692308,257,37,265,43,39,0.9363831877708435,True,22,L022
