lesion_3d_key,lesion_3d_id,included,n_slices,n_components,n_components_included,slice_min,slice_max,span_mm,slices,total_area_mm2,total_agatston,max_peak_hu,max_density_weight,peak_slice_idx,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1
L001,1,True,1,1,1,8,8,3.0,8,2.910599858345851,2.910599858345851,154.0,1,8,254.6086956521739,173.7391304347826,253,171,257,176
L002,2,True,1,1,1,8,8,3.0,8,1.8649183971435537,1.8649183971435537,169.0,1,8,279.0625,203.875,277,202,281,206
L003,3,True,2,2,1,8,9,6.0,8 9,33.87075206930705,135.4830082772282,506.0,4,9,269.8333333333333,195.77777777777777,261,184,276,209
L004,4,False,1,1,0,9,9,3.0,9,0,0,129.0,0,9,119.0,131.5,119,131,119,132
L005,5,False,1,1,0,9,9,3.0,9,0,0,137.0,1,9,245.40000000000003,173.2,245,172,246,174
L006,6,True,1,1,1,15,15,3.0,15,3.182829252455149,3.182829252455149,179.0,1,15,323.962962962963,221.2962962962963,321,219,327,224
L007,7,True,1,1,1,15,15,3.0,15,2.5732340249508514,2.5732340249508514,176.0,1,15,331.77272727272725,230.45454545454547,330,227,334,233
L008,8,False,1,1,0,16,16,3.0,16,0,0,99.0,0,16,16.0,30.0,16,30,16,30
L009,9,True,1,1,1,16,16,3.0,16,4.365427950844323,17.46171180337729,430.0,4,16,198.3939393939394,47.484848484848484,195,45,201,50
L010,10,False,1,1,0,17,17,3.0,17,0,0,110.0,0,17,21.5,32.5,21,32,22,33
L011,11,False,1,1,0,18,18,3.0,18,0,0,105.0,0,18,24.4,33.2,24,32,25,34
L012,12,False,1,1,0,19,19,3.0,19,0,0,108.0,0,19,17.8,66.4,17,66,19,67
L013,13,False,1,1,0,20,20,3.0,20,0,0,114.0,0,20,23.0,64.8,22,63,24,66
L014,14,True,2,2,2,21,22,6.0,21 22,29.80184670396357,105.81091013083866,579.0,4,21,321.38336588828605,237.32329605934032,312,229,327,245
L015,15,True,1,1,1,25,25,3.0,25,7.447980812546516,22.343942437639548,346.0,3,25,273.2931034482759,266.08620689655174,269,262,278,269
L016,16,True,1,1,1,27,27,3.0,27,3.838018995218507,11.514056985655522,301.0,3,27,105.13793103448276,275.1034482758621,103,272,108,278
L017,17,True,1,1,1,29,29,3.0,29,3.4430593203121713,6.886118640624343,244.0,2,29,102.3076923076923,261.2307692307692,100,259,105,264
L018,18,True,1,1,1,30,30,3.0,30,4.304970710897978,8.609941421795956,215.0,2,30,150.72727272727272,167.15151515151516,147,165,154,169
L019,19,True,2,2,2,30,31,6.0,30 31,27.160639214011493,69.86658863018621,389.0,3,30,157.11164461827292,178.8601254904652,150,172,164,186
L020,20,True,2,2,2,30,31,6.0,30 31,8.86769584852929,26.603087545587876,372.0,3,30,203.01862609974668,179.18266310954542,200,176,206,183
L021,21,True,2,2,2,30,31,6.0,30 31,19.47334503355657,65.86361297464143,638.0,4,30,109.69941246986782,245.21949847834293,104,240,116,253
L022,22,True,2,2,2,32,33,6.0,32 33,11.313049078901365,17.626653580089602,206.0,2,32,261.0527551951238,40.0005088274357,257,36,265,44
